"status" "family" "pval" "qval" "gene_short_name" "num_cells_expressed"
"NA.6" NA NA NA NA NA NA
"ENSMUSG00000001348" "OK" "tobit" 3.29096077211984e-21 2.77161148980337e-20 "Acp5" 364
"ENSMUSG00000001366" "OK" "tobit" 0.0230301933477009 0.0392082239055917 "Fbxo9" 406
"ENSMUSG00000001376" "OK" "tobit" 2.62247034015486e-05 7.17895593980218e-05 "Ccdc132" 294
"ENSMUSG00000001380" "OK" "tobit" 0.000236803996360831 0.000573554911723591 "Hars" 445
"ENSMUSG00000001383" "OK" "tobit" 1.09434591841331e-23 1.0417647331442e-22 "Zmat2" 447
"ENSMUSG00000001403" "OK" "tobit" 0.267536950031595 0.33815475741633 "Ube2c" 296
"ENSMUSG00000001415" "OK" "tobit" 0.0101858087666988 0.0186814474603305 "Smg5" 349
"ENSMUSG00000001416" "OK" "tobit" 3.51831182077576e-28 4.00324783627393e-27 "Cct3" 447
"ENSMUSG00000001417" "OK" "tobit" 7.75182618950168e-32 1.00875570692612e-30 "Rhbg" 283
"ENSMUSG00000001418" "OK" "tobit" 1.48190450617545e-12 7.64838372610906e-12 "0610031J06Rik" 444
"ENSMUSG00000001419" "OK" "tobit" 0.00252934008051649 0.00523710519610533 "Mef2d" 366
"ENSMUSG00000001420" "OK" "tobit" 0.237039783375625 0.30493506053685 "Tmem79" 29
"ENSMUSG00000001424" "OK" "tobit" 3.14268959561072e-13 1.69831674362189e-12 "Snd1" 446
"ENSMUSG00000001435" "OK" "tobit" 0.000804230281249135 0.00180297736319643 "Col18a1" 444
"ENSMUSG00000001436" "OK" "tobit" 1.25676657735334e-05 3.58591363655273e-05 "Slc19a1" 350
"ENSMUSG00000001440" "OK" "tobit" 1.77894636849224e-16 1.1733791069747e-15 "Kpnb1" 437
"ENSMUSG00000001441" "OK" "tobit" 5.32333037429948e-12 2.64497763111746e-11 "Npepps" 411
"ENSMUSG00000001445" "OK" "tobit" 0.030297055999099 0.0502835955587141 "Mrpl10" 444
"ENSMUSG00000001467" "OK" "tobit" 1.91930309842264e-17 1.34605991637163e-16 "Cyp51" 444
"ENSMUSG00000001472" "OK" "tobit" 2.0301180797913e-18 1.50925757808124e-17 "Tcf25" 447
"ENSMUSG00000001473" "OK" "tobit" 0.0130275689395785 0.0234059133634459 "Tubb6" 379
"ENSMUSG00000001482" "OK" "tobit" 0.0240109171838691 0.0407291349919013 "Def8" 353
"ENSMUSG00000001493" "OK" "tobit" 0.0137234116064715 0.0245475763415612 "Meox1" 71
"NA.7" NA NA NA NA NA NA
"ENSMUSG00000001507" "OK" "tobit" 3.60820729680873e-06 1.09183057759485e-05 "Itga3" 210
"ENSMUSG00000001517" "OK" "tobit" 0.00401465406877209 0.00798898518393442 "Foxm1" 162
"ENSMUSG00000001518" "OK" "tobit" 0.0385394223747062 0.0623379778180522 "Itfg2" 325
"ENSMUSG00000001520" "OK" "tobit" 0.278143950433289 0.349471392339884 "Nrip2" 249
"ENSMUSG00000001521" "OK" "tobit" 5.91628870529023e-07 1.93866396483048e-06 "Tulp3" 269
"ENSMUSG00000001524" "OK" "tobit" 0.00138475404183572 0.00299064607754409 "Gtf2h4" 407
"ENSMUSG00000001525" "OK" "tobit" 5.61297563575858e-73 1.84959800055662e-71 "Tubb5" 447
"ENSMUSG00000001542" "OK" "tobit" 1.60362306818194e-07 5.5678917044214e-07 "Ell2" 324
"ENSMUSG00000001552" "OK" "tobit" 5.64192578531372e-44 1.08000632484568e-42 "Jup" 436
"ENSMUSG00000001555" "OK" "tobit" 8.41378152820948e-15 5.02670324998569e-14 "Fkbp10" 314
"ENSMUSG00000001558" "OK" "tobit" 0 0 "Klhl10" 16
"ENSMUSG00000001569" "OK" "tobit" 0.0209104097409388 0.0359663585885926 "Nom1" 398
"ENSMUSG00000001576" "OK" "tobit" 4.73654500182959e-06 1.41276323445614e-05 "Ergic1" 447
"ENSMUSG00000001583" "OK" "tobit" 1.47015345097109e-09 6.08405540414927e-09 "Tnk1" 51
"ENSMUSG00000001604" "OK" "tobit" 0.796726060416895 0.831123622694829 "Tcea3" 439
"ENSMUSG00000001627" "OK" "tobit" 0.316720133076781 0.38908805683359 "Ifrd1" 394
"ENSMUSG00000001630" "OK" "tobit" 0.449392027566071 0.521286858674051 "Stk38l" 277
"ENSMUSG00000001632" "OK" "tobit" 0.00565580008137803 0.0109496068510861 "Brpf1" 214
"ENSMUSG00000001642" "OK" "tobit" 1.13102219088127e-15 7.13074849859511e-15 "Akr1b3" 320
"ENSMUSG00000001663" "OK" "tobit" 4.23405861476754e-06 1.27150111868256e-05 "Gstt1" 447
"ENSMUSG00000001665" "OK" "tobit" 0.00785770301429672 0.0147553122715196 "Gstt3" 385
"ENSMUSG00000001666" "OK" "tobit" 1.90669101315738e-90 7.61235580819761e-89 "Ddt" 447
"ENSMUSG00000001670" "OK" "tobit" 0.000276666475463021 0.000665932215047667 "Tat" 20
"NA.8" NA NA NA NA NA NA
"ENSMUSG00000001674" "OK" "tobit" 7.70660847082987e-05 0.000199852330272666 "Ddx18" 434
"ENSMUSG00000001687" "OK" "tobit" 0.0154167578509154 0.0273206185081629 "Ubl3" 394
"ENSMUSG00000001700" "OK" "tobit" 0.037821771236851 0.0613273733098812 "Gramd3" 345
"ENSMUSG00000001707" "OK" "tobit" 0.00181938949026301 0.00385731987970422 "Eef1e1" 437
"ENSMUSG00000001729" "OK" "tobit" 9.18887161221898e-10 3.86015412281131e-09 "Akt1" 249
"ENSMUSG00000001750" "OK" "tobit" 2.89193087893829e-10 1.25926111074648e-09 "Tcirg1" 388
"ENSMUSG00000001751" "OK" "tobit" 0.0733531153488485 0.110370882692163 "Naglu" 357
"ENSMUSG00000001755" "OK" "tobit" 0.0117433040984303 0.0212989323675615 "Coasy" 417
"ENSMUSG00000001761" "OK" "tobit" 4.94478924201889e-19 3.7825728516409e-18 "Smo" 315
"ENSMUSG00000001763" "OK" "tobit" 0.634549912525382 0.691625368830099 "Tspan33" 248
"ENSMUSG00000001767" "OK" "tobit" 6.0350613638884e-05 0.000158449101569705 "Crnkl1" 334
"ENSMUSG00000001768" "OK" "tobit" 0.0209900556276007 0.0360955171636618 "Rin2" 93
"ENSMUSG00000001774" "OK" "tobit" 5.87234548511922e-11 2.70257479498083e-10 "Chordc1" 429
"ENSMUSG00000001783" "OK" "tobit" 3.66501577162636e-17 2.52787206180495e-16 "Rtcb" 446
"ENSMUSG00000001785" "OK" "tobit" 9.6933397480344e-08 3.4317497209369e-07 "Pwp1" 414
"ENSMUSG00000001786" "OK" "tobit" 0.000698416085140687 0.00158030902743938 "Fbxo7" 319
"ENSMUSG00000001794" "OK" "tobit" 0.0026527163879094 0.00547040785172573 "Capns1" 365
"ENSMUSG00000001802" "OK" "tobit" 0.28900923626757 0.360749440450542 "Lrp3" 49
"ENSMUSG00000001827" "OK" "tobit" 0.063271982531917 0.0968854142721365 "Folr1" 30
"ENSMUSG00000001829" "OK" "tobit" 0.00648473472752491 0.0123954468682187 "Clpb" 426
"ENSMUSG00000001833" "OK" "tobit" 1.19121020640904e-07 4.19198085514725e-07 "Sept7" 447
"ENSMUSG00000001844" "OK" "tobit" 7.71689294791169e-07 2.49821799886438e-06 "Zdhhc4" 379
"ENSMUSG00000001847" "OK" "tobit" 5.36094577572634e-30 6.47644745009622e-29 "Rac1" 447
"ENSMUSG00000001855" "OK" "tobit" 4.63413540386477e-12 2.31414764181653e-11 "Nup214" 386
"ENSMUSG00000001864" "OK" "tobit" 1.39469105739044e-12 7.21235016627684e-12 "Aif1l" 280
"NA.9" NA NA NA NA NA NA
"ENSMUSG00000001891" "OK" "tobit" 9.01025635074713e-15 5.3749553315522e-14 "Ugp2" 439
"ENSMUSG00000001909" "OK" "tobit" 7.70890993950583e-05 0.000199879310553194 "Trmt1" 415
"ENSMUSG00000001910" "OK" "tobit" 2.73043424746767e-12 1.38531955257242e-11 "Nacc1" 314
"ENSMUSG00000001911" "OK" "tobit" 0.000165175266606289 0.000408301306255408 "Nfix" 64
"ENSMUSG00000001918" "OK" "tobit" 0.266562994256171 0.337165705766524 "Slc1a5" 276
"ENSMUSG00000001924" "OK" "tobit" 2.30943901713428e-31 2.94960583574362e-30 "Uba1" 447
"NA.10" NA NA NA NA NA NA
"ENSMUSG00000001942" "OK" "tobit" 1.79481131487317e-05 5.00576444496565e-05 "Siae" 309
"NA.11" NA NA NA NA NA NA
"ENSMUSG00000001948" "OK" "tobit" 0.000475452534744547 0.00110627167875823 "Spa17" 143
"ENSMUSG00000001962" "OK" "tobit" 0.23148085991419 0.299117204438278 "Fam50a" 425
"ENSMUSG00000001964" "OK" "tobit" 0.0436690641485977 0.0697174321872757 "Emd" 316
"ENSMUSG00000001983" "OK" "tobit" 0.13465150015903 0.188485938136592 "Taco1" 191
"ENSMUSG00000001986" "OK" "tobit" 5.29153829158352e-06 1.56973389334828e-05 "Gria3" 148
"NA.12" NA NA NA NA NA NA
"ENSMUSG00000001995" "OK" "tobit" 0.000296767515403318 0.000710753266718434 "Sipa1l2" 75
"ENSMUSG00000001998" "OK" "tobit" 0.0197243287510239 0.0341150819187831 "Ap4e1" 201
"ENSMUSG00000001999" "OK" "tobit" 0.0191049057411278 0.0331486322930351 "Blvra" 393
"ENSMUSG00000002006" "OK" "tobit" 0.672280730309829 0.724135207299408 "Pdzd4" 13
"ENSMUSG00000002010" "OK" "tobit" 1.58446191845251e-16 1.04771470202221e-15 "Idh3g" 447
